﻿Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
08LC043,2,1968/05/17,2.438,
08LC043,2,1968/05/18,2.515,
08LC043,2,1968/05/19,2.591,
08LC043,2,1968/05/20,2.643,
08LC043,2,1968/05/21,2.844,
08LC043,2,1968/05/22,2.896,
08LC043,2,1968/05/23,3.048,
08LC043,2,1968/05/24,3.124,
08LC043,2,1968/05/25,3.252,
08LC043,2,1968/05/26,3.301,
08LC043,2,1968/05/27,3.709,
08LC043,2,1968/05/28,3.862,
08LC043,2,1968/05/29,3.911,
08LC043,2,1968/05/30,4.063,
08LC043,2,1968/05/31,4.115,
08LC043,2,1968/06/01,4.167,
08LC043,2,1968/06/02,4.267,
08LC043,2,1968/06/03,4.420,
08LC043,2,1968/06/04,4.496,
08LC043,2,1968/06/05,4.624,
08LC043,2,1968/06/06,4.673,
08LC043,2,1968/06/07,4.776,
08LC043,2,1968/06/08,4.877,
08LC043,2,1968/06/09,4.929,
08LC043,2,1968/06/10,5.005,
08LC043,2,1968/06/11,5.081,
08LC043,2,1968/06/12,5.182,
08LC043,2,1968/06/13,5.258,
08LC043,2,1968/06/14,5.334,
08LC043,2,1968/06/15,5.386,
08LC043,2,1968/06/16,5.486,
08LC043,2,1968/06/17,5.538,
08LC043,2,1968/06/18,5.587,
08LC043,2,1968/06/19,5.587,
08LC043,2,1968/06/20,5.691,
08LC043,2,1968/06/21,5.791,
08LC043,2,1968/06/22,5.867,
08LC043,2,1968/06/23,5.892,
08LC043,2,1968/06/24,5.919,
08LC043,2,1968/06/25,5.919,
08LC043,2,1968/06/26,5.919,
08LC043,2,1968/06/27,5.919,
08LC043,2,1968/06/28,5.919,
08LC043,2,1968/06/29,5.919,
08LC043,2,1968/06/30,5.919,
08LC043,2,1968/07/01,5.892,
08LC043,2,1968/07/02,5.892,
08LC043,2,1968/07/03,5.892,
08LC043,2,1968/07/04,5.892,
08LC043,2,1968/07/05,5.892,
08LC043,2,1968/07/06,5.892,
08LC043,2,1968/07/07,5.867,
08LC043,2,1968/07/08,5.816,
08LC043,2,1968/07/09,5.816,
08LC043,2,1968/07/10,5.816,
08LC043,2,1968/07/11,5.791,
08LC043,2,1968/07/12,5.791,
08LC043,2,1968/07/13,5.791,
08LC043,2,1968/07/14,5.791,
08LC043,2,1968/07/15,5.791,
08LC043,2,1968/07/16,5.691,
08LC043,2,1968/07/17,5.691,
08LC043,2,1968/07/18,5.639,
08LC043,2,1968/07/19,5.614,
08LC043,2,1968/07/20,5.614,
