"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-01","2018","01","01","","-15.4","","-21.8","","-18.6","","36.6","","0.0","","","M","","M","0.2","","61","","24","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-02","2018","01","02","","-17.6","","-23.9","","-20.8","","38.8","","0.0","","","M","","M","1.8","","61","","35","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-03","2018","01","03","","","M","-27.9","E","","M","","M","","M","","M","","M","","M","63","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-04","2018","01","04","","-23.5","","-30.5","","-27.0","","45.0","","0.0","","","M","","M","0.0","","62","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-05","2018","01","05","","-20.1","","-29.4","","-24.8","","42.8","","0.0","","","M","","M","0.0","","62","","16","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-06","2018","01","06","","-12.3","","-20.1","","-16.2","","34.2","","0.0","","","M","","M","0.3","","61","","17","","61",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-07","2018","01","07","","-2.5","","-12.3","","-7.4","","25.4","","0.0","","","M","","M","1.4","","62","","31","","70",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-08","2018","01","08","","-10.0","","-17.3","","-13.7","","31.7","","0.0","","","M","","M","0.5","","64","","32","","52",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-09","2018","01","09","","-7.3","","-13.9","","-10.6","","28.6","","0.0","","","M","","M","6.6","","62","","19","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-10","2018","01","10","","-7.2","","-25.2","","-16.2","","34.2","","0.0","","","M","","M","2.8","","62","","35","","63",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-11","2018","01","11","","-25.1","","-28.5","","-26.8","","44.8","","0.0","","","M","","M","0.0","","77","","35","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-12","2018","01","12","","-23.7","","-27.6","","-25.7","","43.7","","0.0","","","M","","M","0.0","T","75","","31","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-13","2018","01","13","","-18.7","","-26.9","","-22.8","","40.8","","0.0","","","M","","M","0.2","","75","","18","","46",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-14","2018","01","14","","-17.2","","-27.5","","-22.4","","40.4","","0.0","","","M","","M","1.3","","75","","34","","56",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-15","2018","01","15","","-21.2","","-28.8","","-25.0","","43.0","","0.0","","","M","","M","0.0","T","70","","1","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-16","2018","01","16","","-13.0","","-21.4","","-17.2","","35.2","","0.0","","","M","","M","0.2","","70","","18","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2018-01-17","2018","01","17","","-9.7","","-18.2","","-14.0","","32.0","","0.0","","","M","","M","0.0","","70","","","","<31",""
