"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-01","2012","01","01","","-6.6","","-15.8","","-11.2","","29.2","","0.0","","","M","","M","3.8","","47","","32","","76",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-02","2012","01","02","","-14.4","","-18.4","","-16.4","","34.4","","0.0","","","M","","M","6.6","","46","","17","","69",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-03","2012","01","03","","-2.9","","-14.9","","-8.9","","26.9","","0.0","","0.0","","","M","4.9","","47","","15","","69",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-04","2012","01","04","","-3.8","","-10.6","","-7.2","","25.2","","0.0","","","M","","M","2.3","","48","","29","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-05","2012","01","05","","-4.6","","-8.0","","-6.3","","24.3","","0.0","","","M","","M","","M","47","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-06","2012","01","06","","-6.1","","-14.2","","-10.2","","28.2","","0.0","","0.0","","","M","0.8","","47","","33","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-07","2012","01","07","","-11.0","","-15.7","","-13.4","","31.4","","0.0","","","M","","M","3.9","","49","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-08","2012","01","08","","-1.1","","-11.0","","-6.1","","24.1","","0.0","","","M","","M","6.3","","50","","20","","63",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-09","2012","01","09","","0.4","","-5.5","","-2.6","","20.6","","0.0","","","M","","M","1.5","","48","","29","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-10","2012","01","10","","-1.1","","-15.0","","-8.1","","26.1","","0.0","","0.0","","","M","2.7","","50","","34","","52",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-11","2012","01","11","","-14.9","","-19.2","","-17.1","","35.1","","0.0","","","M","","M","16.2","","47","","35","","61",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-12","2012","01","12","","-18.1","","-24.5","","-21.3","","39.3","","0.0","","","M","","M","","M","44","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-13","2012","01","13","","-14.5","","-18.1","","-16.3","","34.3","","0.0","","","M","","M","0.0","","45","","17","","48",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-14","2012","01","14","","-12.6","","-14.8","","-13.7","","31.7","","0.0","","","M","","M","2.9","","46","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-15","2012","01","15","","-9.7","","-16.4","","-13.1","","31.1","","0.0","","0.0","","","M","4.3","","46","","34","","59",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-16","2012","01","16","","-16.0","","-24.9","","-20.5","","38.5","","0.0","","","M","","M","21.7","","54","","33","","59",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-17","2012","01","17","","-24.4","","-30.6","","-27.5","","45.5","","0.0","","","M","","M","17.7","","45","","32","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-18","2012","01","18","","-28.1","","-34.7","","-31.4","","49.4","","0.0","","","M","","M","22.3","","45","","25","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-19","2012","01","19","","-23.1","","-29.5","","-26.3","","44.3","","0.0","","","M","","M","0.0","","46","","25","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-20","2012","01","20","","-21.9","","-26.4","","-24.2","","42.2","","0.0","","","M","","M","2.7","","47","","28","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-21","2012","01","21","","-14.9","","-25.8","","-20.4","","38.4","","0.0","","0.0","","","M","10.2","","46","","12","","33",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-22","2012","01","22","","-12.2","","-14.9","","-13.6","","31.6","","0.0","","0.0","","","M","5.3","","51","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-23","2012","01","23","","-12.4","","-26.6","","-19.5","","37.5","","0.0","","","M","","M","20.2","","57","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-24","2012","01","24","","-11.0","","-26.0","","-18.5","","36.5","","0.0","","","M","","M","","M","56","","17","","46",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-25","2012","01","25","","-2.4","","-16.2","","-9.3","","27.3","","0.0","","","M","","M","","M","56","","16","","54",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2012-01-26","2012","01","26","","-2.7","","-8.6","","-5.7","","23.7","","0.0","","","M","","M","","M","50","","31","","57",""
